accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.6265263948900995,0.7444196428571429,0.7982288176160842,0.7703857703857704,1,3335,843,1145,0,True,synfulv01,lh_con
0.8171180931744312,0.7791243158717748,0.8772007042253521,0.8252587991718426,2,1993,279,565,1778,True,synfulv01,lh_con
0.8807359787186877,0.7953813104189044,0.9041514041514042,0.8462857142857142,3,1481,157,381,2492,True,synfulv01,lh_con
0.9057906458797328,0.7879598662207358,0.9174454828660437,0.8477869737315582,4,1178,106,317,2889,True,synfulv01,lh_con
0.9150501672240803,0.7657657657657657,0.9077669902912622,0.8307418924922257,5,935,95,286,3169,True,synfulv01,lh_con
0.9266116439884007,0.7523992322456814,0.9169590643274854,0.8265682656826568,6,784,71,258,3370,True,synfulv01,lh_con
0.9404150859183218,0.764172335600907,0.9195088676671214,0.8346749226006193,7,674,59,208,3540,True,synfulv01,lh_con
0.9446552108904263,0.7562582345191041,0.9010989010989011,0.8223495702005731,8,574,63,185,3659,True,synfulv01,lh_con
0.9529122963624191,0.7603550295857988,0.9129662522202486,0.8297013720742533,9,514,49,162,3756,True,synfulv01,lh_con
0.96072305288998,0.7728026533996684,0.9227722772277228,0.8411552346570397,10,466,39,137,3839,True,synfulv01,lh_con
0.9642857142857143,0.7682481751824818,0.9273127753303965,0.8403193612774451,11,421,33,127,3899,True,synfulv01,lh_con
0.9669642857142857,0.7645875251509054,0.9245742092457421,0.8370044052863437,12,380,31,117,3952,True,synfulv01,lh_con
0.9694196428571429,0.7668845315904139,0.9214659685863874,0.8370986920332937,13,352,30,107,3991,True,synfulv01,lh_con
0.9738839285714286,0.7780429594272077,0.9314285714285714,0.8478543563068921,14,326,24,93,4037,True,synfulv01,lh_con
0.9732142857142857,0.7480916030534351,0.9333333333333333,0.8305084745762712,15,294,21,99,4066,True,synfulv01,lh_con
0.9774553571428571,0.7620396600566572,0.9405594405594405,0.8419405320813771,16,269,17,84,4110,True,synfulv01,lh_con
0.978125,0.7455621301775148,0.9545454545454546,0.8372093023255814,17,252,12,86,4130,True,synfulv01,lh_con
0.9783482142857143,0.7350157728706624,0.9471544715447154,0.827708703374778,18,233,13,84,4150,True,synfulv01,lh_con
0.9790178571428572,0.7190635451505016,0.9555555555555556,0.8206106870229009,19,215,10,84,4171,True,synfulv01,lh_con
0.9783482142857143,0.6981818181818182,0.9320388349514563,0.7983367983367984,20,192,14,83,4191,True,synfulv01,lh_con
0.9779017857142858,0.6745098039215687,0.9148936170212766,0.7765237020316027,21,172,16,83,4209,True,synfulv01,lh_con
0.9808035714285714,0.6965811965811965,0.9157303370786517,0.79126213592233,22,163,15,71,4231,True,synfulv01,lh_con
0.9825892857142857,0.7028301886792453,0.9085365853658537,0.7925531914893618,23,149,15,63,4253,True,synfulv01,lh_con
0.9832589285714286,0.7076923076923077,0.8846153846153846,0.7863247863247863,24,138,18,57,4267,True,synfulv01,lh_con
0.9852678571428571,0.7297297297297297,0.8940397350993378,0.8035714285714286,25,135,16,50,4279,True,synfulv01,lh_con
0.9859375,0.7411764705882353,0.8689655172413793,0.8,26,126,19,44,4291,True,synfulv01,lh_con
0.9875,0.7612903225806451,0.8613138686131386,0.8082191780821917,27,118,19,37,4306,True,synfulv01,lh_con
0.9872767857142857,0.7297297297297297,0.864,0.7912087912087912,28,108,17,40,4315,True,synfulv01,lh_con
0.9866071428571429,0.6971830985915493,0.853448275862069,0.7674418604651163,29,99,17,43,4321,True,synfulv01,lh_con
