fscore_abc,precision_abc,recall_abc,score_thr
0.726159230096238,0.6882255389718076,0.7685185185185185,0.98
0.7205387205387206,0.6604938271604939,0.7925925925925926,0.96
0.7142857142857143,0.7156133828996283,0.7129629629629629,0.985
0.7111111111111111,0.64,0.8,0.94
0.7050243111831442,0.6268011527377522,0.8055555555555556,0.92
0.703232125367287,0.7463617463617463,0.6648148148148149,0.99
0.7029623698959168,0.6191819464033851,0.812962962962963,0.9
0.6861989205859675,0.5878467635402906,0.8240740740740741,0.8
0.6756352765321375,0.5664160401002506,0.837037037037037,0.7000000000000001
0.6632578524470416,0.5476477683956574,0.8407407407407408,0.6
0.6541436464088398,0.810958904109589,0.5481481481481482,0.995
0.6519572953736654,0.5294797687861271,0.8481481481481481,0.5
0.6372413793103447,0.5076923076923077,0.8555555555555555,0.4
0.6315077755240027,0.49733759318423854,0.8648148148148148,0.30000000000000004
0.6057068741893644,0.4660678642714571,0.8648148148148148,0.2
0.565558912386707,0.41973094170403585,0.8666666666666667,0.1
